id;name
7332f4a9-304c-4187-b62a-44d1326c1324;invoice
f87be74d-b9dc-4617-a31a-21c24970807e;target
c57795d7-77e1-4ef0-8bf7-5848288bb2f1;Spur Forward
488a97fc-964c-496f-8719-2d387a4b33e6;Distributed infomediaries Metal
1e825711-1e99-4612-b144-14758ee56db4;tan invoice Wooden
680be165-93dd-4e7e-a8c1-d86d5a8ad1bb;Factors
7d009f83-e0dd-4992-83d1-617c59ff9e63;overriding
b4092ff9-320c-4436-a247-bb51551cf20b;Account
1f28ea2a-0bb7-4d9a-9e86-4720718ad676;methodologies azure feed
19a82c82-aca2-4989-930b-820d0e0a4397;program auxiliary Czech
